"hospital_id","name","role","area","address","latitude","longitude","ipet_status","distance_km","distance_method","travel_minutes","travel_method","overall_score","home_doctor_score","dachshund_score","emergency_score","google_rating","google_review_count","phone","google_maps_url","website_url"
"amc","アニマルメディカルセンター","24時間・入院補完","川崎市（対象3区外）","神奈川県川崎市中原区新丸子東2-890-10","35.577827","139.66391","window_settlement","10.3","google_maps_driving_route","29","google_maps_driving_route","61","53","","100","3","272","044-411-9999","https://www.google.com/maps/search/?api=1&query=35.577827%2C139.663910","https://amc-japan.com/"
"yokohama-aoba","横浜青葉どうぶつ病院","専門・高度Provider","横浜市都筑区","神奈川県横浜市都筑区中川中央1-8-3","35.552036","139.577271","window_settlement","8.2","google_maps_driving_route","22","google_maps_driving_route","76","79","63","67","4.7","121","045-910-5500","https://www.google.com/maps/search/?api=1&query=35.552036%2C139.577271","https://www.yokohama-aoba.jp/"
"aoba-amc","青葉どうぶつ医療センター","整形・神経バックアップ","横浜市青葉区","神奈川県横浜市青葉区桂台1-2-10","35.548195","139.507248","window_settlement","13.2","google_maps_driving_route","22","google_maps_driving_route","86","80","88","100","4.8","78","045-500-9033","https://www.google.com/maps/search/?api=1&query=35.548195%2C139.507248","https://aoba-amc.com/"
"trva","TRVA動物医療センター","専門・高度Provider","東京都","東京都世田谷区深沢8-19-12 泉美ビル2F","35.62598","139.642883","needs_confirmation","7.4","google_maps_driving_route","14","google_maps_driving_route","69","66","63","100","","","03-5760-1212","https://www.google.com/maps/search/?api=1&query=TRVA%E5%8B%95%E7%89%A9%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC","https://trva.jp/"
"camic-jonan","動物検診センター キャミック城南","専門・高度Provider","東京都","東京都世田谷区深沢8-19-12","35.62598","139.642883","needs_confirmation","7.4","google_maps_driving_route","14","google_maps_driving_route","42","53","","0","","","03-5752-5033","https://www.google.com/maps/search/?api=1&query=%E5%8B%95%E7%89%A9%E6%A4%9C%E8%A8%BA%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E3%82%AD%E3%83%A3%E3%83%9F%E3%83%83%E3%82%AF%E5%9F%8E%E5%8D%97","https://camic.jp/"
"dvms-yokohama","DVMsどうぶつ医療センター横浜","専門・高度Provider","横浜市（対象2区外）","神奈川県横浜市神奈川区沢渡2-2 第二泉ビル2F","35.471062","139.618607","needs_confirmation","21","google_maps_driving_route","35","google_maps_driving_route","56","50","63","78","","","045-320-9099","https://www.google.com/maps/search/?api=1&query=DVMs%E3%81%A9%E3%81%86%E3%81%B6%E3%81%A4%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E6%A8%AA%E6%B5%9C","https://yokohama-dvms.com/sp/"
"nvlu-amc","日本獣医生命科学大学付属動物医療センター","専門・高度Provider","東京都","東京都武蔵野市境南町1-7-1","35.701889","139.546646","needs_confirmation","15.2","google_maps_driving_route","55","google_maps_driving_route","52","32","83","22","","","0422-90-4000","https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E6%9C%AC%E7%8D%A3%E5%8C%BB%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%A6%E5%A4%A7%E5%AD%A6%E4%BB%98%E5%B1%9E%E5%8B%95%E7%89%A9%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC","https://www.nvlu.ac.jp/amedical/"
"utokyo-vmc","東京大学附属動物医療センター","専門・高度Provider","東京都","東京都文京区弥生1-1-1 東京大学弥生キャンパス","35.716991","139.760361","needs_confirmation","25.6","google_maps_driving_route","72","google_maps_driving_route","51","27","75","22","","","03-5841-5420","https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E5%8B%95%E7%89%A9%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC","https://www.vm.a.u-tokyo.ac.jp/vmc/"
"v2-miyamae-1qp67ya","宮崎台どうぶつ病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区宮崎２丁目６−１１ A-108","35.5889941","139.5888645","needs_confirmation","1.6","haversine_straight_line","8","planning_estimate_from_straight_line","60","71","","","4.7","41","","https://www.google.com/maps/place/%E5%AE%AE%E5%B4%8E%E5%8F%B0%E3%81%A9%E3%81%86%E3%81%B6%E3%81%A4%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f7d4a579e725:0x844fee384b460fff!8m2!3d35.5889941!4d139.5888645!16s%2Fg%2F11kb4n592d!19sChIJJed5pdT3GGAR_w9GSzjuT4Q?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-miyamae-k9ybtu","ヒナギク動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区神木本町２丁目１−３ コスモハウス ２Ｆ","35.6009368","139.5820656","needs_confirmation","0.4","haversine_straight_line","4","planning_estimate_from_straight_line","60","71","","","5","9","","https://www.google.com/maps/place/%E3%83%92%E3%83%8A%E3%82%AE%E3%82%AF%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f7b7fd4e9a25:0xdc642d6d18885861!8m2!3d35.6009368!4d139.5820656!16s%2Fg%2F11p17th19j!19sChIJJZpO_bf3GGARYViIGG0tZNw?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-miyamae-17e984k","森安動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区鷺沼１丁目６−１２","35.5760074","139.5750857","needs_confirmation","3.2","haversine_straight_line","13","planning_estimate_from_straight_line","55","62","","","4.2","147","","https://www.google.com/maps/place/%E6%A3%AE%E5%AE%89%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f6f9401898c7:0x7ad0ffc79b4be7a9!8m2!3d35.5760074!4d139.5750857!16s%2Fg%2F1tczqdh8!19sChIJx5gYQPn2GGARqedLm8f_0Ho?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-miyamae-67fj94","内田動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区初山２丁目１−１１","35.599471","139.5653008","needs_confirmation","1.9","haversine_straight_line","9","planning_estimate_from_straight_line","57","67","","","4.4","30","","https://www.google.com/maps/place/%E5%86%85%E7%94%B0%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f729134ffaf3:0xc3ad1eaff8e638e2!8m2!3d35.599471!4d139.5653008!16s%2Fg%2F1tnqh0lc!19sChIJ8_pPEyn3GGAR4jjm-K8ercM?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-miyamae-1cva857","にし動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区犬蔵２丁目２−１５","35.5857226","139.5662588","needs_confirmation","2.6","haversine_straight_line","11","planning_estimate_from_straight_line","56","63","","","4.3","27","","https://www.google.com/maps/place/%E3%81%AB%E3%81%97%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f71fa75a247f:0x48309bf90e1961a4!8m2!3d35.5857226!4d139.5662588!16s%2Fg%2F1vppsknq!19sChIJfyRapx_3GGARpGEZDvmbMEg?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-miyamae-1tcvgoq","ALLONE動物病院 さぎ沼病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区有馬８丁目７−１１ ペットフォレストさぎ沼店２Ｆ","35.5749881","139.5764564","needs_confirmation","3.2","haversine_straight_line","13","planning_estimate_from_straight_line","55","62","","","4.2","64","","https://www.google.com/maps/place/ALLONE%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2+%E3%81%95%E3%81%8E%E6%B2%BC%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f6f900f0d157:0xef817fbbcff45106!8m2!3d35.5749881!4d139.5764564!16s%2Fg%2F1v27vjt8!19sChIJV9HwAPn2GGARBlH0z7t_ge8?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-miyamae-yv6y6s","たじま 動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区南平台２−１８","35.5947105","139.5711208","needs_confirmation","1.6","haversine_straight_line","8","planning_estimate_from_straight_line","55","63","","","4","31","","https://www.google.com/maps/place/%E3%81%9F%E3%81%98%E3%81%BE+%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f6d8ded5aaab:0xf6ee4e89d6e445b!8m2!3d35.5947105!4d139.5711208!16s%2Fg%2F11c1_vsv8j!19sChIJq6rV3tj2GGARW0Runejkbg8?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-miyamae-1j5wd9p","ポー・リー動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区馬絹３丁目２０−２５","35.5775399","139.5951033","needs_confirmation","3","haversine_straight_line","12","planning_estimate_from_straight_line","53","59","","","4","68","","https://www.google.com/maps/place/%E3%83%9D%E3%83%BC%E3%83%BB%E3%83%AA%E3%83%BC%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f663c5ca9bfd:0x9f79561b9c43800c!8m2!3d35.5775399!4d139.5951033!16s%2Fg%2F1tcv6b_9!19sChIJ_ZvKxWP2GGARDIBDnBtWeZ8?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-miyamae-2ntuv9","グラン動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区東有馬３丁目１９−３","35.5715917","139.5940852","needs_confirmation","3.6","haversine_straight_line","14","planning_estimate_from_straight_line","50","55","","","3.4","23","","https://www.google.com/maps/place/%E3%82%B0%E3%83%A9%E3%83%B3%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f665e2baa857:0x6702d3d313543691!8m2!3d35.5715917!4d139.5940852!16s%2Fg%2F1tf02j0g!19sChIJV6i64mX2GGARkTZUE9PTAmc?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-miyamae-1fsxf2o","有馬動物病院","一般診療候補","川崎市宮前区","神奈川県川崎市宮前区東有馬２丁目３５−５３","35.5738112","139.5912672","needs_confirmation","3.3","haversine_straight_line","13","planning_estimate_from_straight_line","55","61","","","4.1","11","","https://www.google.com/maps/place/%E6%9C%89%E9%A6%AC%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f667258ed8d7:0x93431a2af644c883!8m2!3d35.5738112!4d139.5912672!16s%2Fg%2F1tfkfmqf!19sChIJ19iOJWf2GGARg8hE9ioaQ5M?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-takatsu-1u3u3tv","坂戸動物病院","一般診療候補","川崎市高津区","神奈川県川崎市高津区坂戸２丁目１−３","35.5978243","139.6236732","needs_confirmation","3.5","haversine_straight_line","14","planning_estimate_from_straight_line","55","62","","","4.2","19","044-850-1787","https://www.google.com/maps/place/%E5%9D%82%E6%88%B8%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f5f90dae1cf1:0x2907eb1889abb26f!8m2!3d35.5978243!4d139.6236732!16s%2Fg%2F11g0sqc2z8!19sChIJ8RyuDfn1GGARb7KriRjrByk?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-takatsu-e8z065","獣医科市岡医院","一般診療候補","川崎市高津区","神奈川県川崎市高津区末長１丁目３７−２２","35.5889099","139.6077695","needs_confirmation","2.6","haversine_straight_line","11","planning_estimate_from_straight_line","56","64","","","4.4","20","044-866-3691","https://www.google.com/maps/place/%E7%8D%A3%E5%8C%BB%E7%A7%91%E5%B8%82%E5%B2%A1%E5%8C%BB%E9%99%A2/data=!4m7!3m6!1s0x6018f681bc564e99:0xe64e3ac269937e9f!8m2!3d35.5889099!4d139.6077695!16s%2Fg%2F1ttpgygq!19sChIJmU5WvIH2GGARn36TacI6TuY?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-takatsu-jdywf3","田園動物病院","一般診療候補","川崎市高津区","神奈川県川崎市高津区子母口３０９ 田園ハイツ","35.5715828","139.6316328","needs_confirmation","5.5","haversine_straight_line","20","planning_estimate_from_straight_line","58","64","","","4.7","27","044-751-3600","https://www.google.com/maps/place/%E7%94%B0%E5%9C%92%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f5936f268a27:0xb7d0591e66819b34!8m2!3d35.5715828!4d139.6316328!16s%2Fg%2F1tcwg07v!19sChIJJ4omb5P1GGARNJuBZh5Z0Lc?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-takatsu-1s32g9v","つだやま動物病院","一般診療候補","川崎市高津区","神奈川県川崎市高津区久地４丁目２４−３７ サンライズ８８ 102号","35.609446","139.5946655","needs_confirmation","1.1","haversine_straight_line","6","planning_estimate_from_straight_line","54","62","","","3.7","11","044-814-1249","https://www.google.com/maps/place/%E3%81%A4%E3%81%A0%E3%82%84%E3%81%BE%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f6b0cee12c27:0x8049b65299620c2c!8m2!3d35.609446!4d139.5946655!16s%2Fg%2F1tflxy9t!19sChIJJyzhzrD2GGARLAximVK2SYA?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-takatsu-1dkakw7","くどう動物病院","一般診療候補","川崎市高津区","神奈川県川崎市高津区上作延２５−１４６−１９ 関本屋ビル","35.5999373","139.5945545","needs_confirmation","0.9","haversine_straight_line","6","planning_estimate_from_straight_line","55","64","","","4","4","044-856-2460","https://www.google.com/maps/place/%E3%81%8F%E3%81%A9%E3%81%86%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f6bdde761d3d:0xc08828689c8f5ec!8m2!3d35.5999373!4d139.5945545!16s%2Fg%2F1tdqbmbl!19sChIJPR123r32GGAR7PXIiYaCCAw?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-k12it9","トレア動物病院","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区生田２丁目３−４","35.6251529","139.5469735","needs_confirmation","4.3","haversine_straight_line","16","planning_estimate_from_straight_line","57","63","","","4.5","123","044-396-1100","https://www.google.com/maps/place/%E3%83%88%E3%83%AC%E3%82%A2%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f0929f21c3b5:0xa959dfea7083923a!8m2!3d35.6251529!4d139.5469735!16s%2Fg%2F11c3k53_qj!19sChIJtcMhn5LwGGAROpKDcOrfWak?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-1x6pk2j","せいた動物病院","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区枡形３丁目２−１６","35.6166017","139.5567315","window_settlement","3","haversine_straight_line","12","planning_estimate_from_straight_line","64","72","","","4.7","128","044-271-8111","https://www.google.com/maps/place/%E3%81%9B%E3%81%84%E3%81%9F%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f0c36d1c6df7:0x483c1cf3d952ac2!8m2!3d35.6166017!4d139.5567315!16s%2Fg%2F1tggtkjh!19sChIJ920cbcPwGGARwiqVPc_BgwQ?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-ng8d1b","登戸動物医療センター","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区登戸2576ｰ1","35.6191878","139.568861","window_settlement","2.3","haversine_straight_line","10","planning_estimate_from_straight_line","62","71","","","4.5","53","044-455-7460","https://www.google.com/maps/place/%E7%99%BB%E6%88%B8%E5%8B%95%E7%89%A9%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/data=!4m7!3m6!1s0x6018f14bb48e7e5b:0x97d028eacda410b7!8m2!3d35.6191878!4d139.568861!16s%2Fg%2F11wc0v0t5b!19sChIJW36OtEvxGGARtxCkzeoo0Jc?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-14fkcss","中野島動物病院","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区中野島４丁目１０−２","35.630701","139.55776","window_settlement","4","haversine_straight_line","15","planning_estimate_from_straight_line","55","60","","","3.7","25","044-911-3521","https://www.google.com/maps/place/%E4%B8%AD%E9%87%8E%E5%B3%B6%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f0f01253c0d1:0xac4ad0276e1f668b!8m2!3d35.630701!4d139.55776!16s%2Fg%2F1tm8f068!19sChIJ0cBTEvDwGGARi2YfbifQSqw?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-ps56kl","たま動物医療センター","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区菅北浦１丁目２−１２","35.6313132","139.5358647","window_settlement","5.5","haversine_straight_line","20","planning_estimate_from_straight_line","54","57","","","3.9","74","044-944-2068","https://www.google.com/maps/place/%E3%81%9F%E3%81%BE%E5%8B%95%E7%89%A9%E5%8C%BB%E7%99%82%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/data=!4m7!3m6!1s0x6018f07d0b0c556b:0xa0f02ffb7ec01108!8m2!3d35.6313132!4d139.5358647!16s%2Fg%2F1v83141x!19sChIJa1UMC33wGGARCBHAfvsv8KA?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-jyn94k","はやしばら動物病院","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区長沢２丁目２−１","35.602537","139.545652","window_settlement","3.6","haversine_straight_line","14","planning_estimate_from_straight_line","64","72","","","4.8","55","044-789-8009","https://www.google.com/maps/place/%E3%81%AF%E3%82%84%E3%81%97%E3%81%B0%E3%82%89%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f0b67d0e3565:0xa2fea580cb9c2535!8m2!3d35.602537!4d139.545652!16s%2Fg%2F1thvsr0r!19sChIJZTUOfbbwGGARNSWcy4Cl_qI?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-sanjar","ARどうぶつ病院","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区登戸２１８２番地 ｢ポルテボヌール １階｣","35.6197812","139.5648354","needs_confirmation","2.6","haversine_straight_line","11","planning_estimate_from_straight_line","51","56","","","3.7","41","044-900-1122","https://www.google.com/maps/place/AR%E3%81%A9%E3%81%86%E3%81%B6%E3%81%A4%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f0debf415555:0x5d500094cd605ea2!8m2!3d35.6197812!4d139.5648354!16s%2Fg%2F11g902sfy9!19sChIJVVVBv97wGGARol5gzZQAUF0?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-xkeoqw","ぬまた動物病院","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区菅馬場２丁目２９−９","35.6239559","139.5365288","needs_confirmation","5","haversine_straight_line","18","planning_estimate_from_straight_line","57","63","","","4.6","31","044-944-2555","https://www.google.com/maps/place/%E3%81%AC%E3%81%BE%E3%81%9F%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f085a4be7dd7:0xd4db6a256f906a0a!8m2!3d35.6239559!4d139.5365288!16s%2Fg%2F1vfwcx11!19sChIJ132-pIXwGGARCmqQbyVq29Q?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-hrbs94","オダガワ動物病院","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区登戸２３８３番地７ フォンティーヌあずま Ⅱ１階","35.6209004","139.5668329","window_settlement","2.6","haversine_straight_line","11","planning_estimate_from_straight_line","59","65","","","4.3","39","044-900-8588","https://www.google.com/maps/place/%E3%82%AA%E3%83%80%E3%82%AC%E3%83%AF%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f19cb5a78971:0x7ae7a86f60fb6f31!8m2!3d35.6209004!4d139.5668329!16s%2Fg%2F11m5jdhq7l!19sChIJcYmntZzxGGARMW_7YG-o53o?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
"v2-tama-17pvegk","みやの動物病院","一般診療候補","川崎市多摩区","神奈川県川崎市多摩区枡形１丁目１−２６","35.619845","139.5535955","needs_confirmation","3.4","haversine_straight_line","13","planning_estimate_from_straight_line","55","62","","","4.2","19","044-930-5318","https://www.google.com/maps/place/%E3%81%BF%E3%82%84%E3%81%AE%E5%8B%95%E7%89%A9%E7%97%85%E9%99%A2/data=!4m7!3m6!1s0x6018f0e9f5a92813:0xf133f8e751e92a29!8m2!3d35.619845!4d139.5535955!16s%2Fg%2F1td8z4l8!19sChIJEyip9enwGGARKSrpUef4M_E?authuser=0&hl=ja&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1",""
